# i, j, E_i, E_j
0.000000000000000000e+00 4.700000000000000000e+01 -2.447697835058063097e-05 -0.000000000000000000e+00
0.000000000000000000e+00 4.800000000000000000e+01 -1.396018681511361073e-05 -0.000000000000000000e+00
0.000000000000000000e+00 4.900000000000000000e+01 -0.000000000000000000e+00 -0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -1.214701526692238417e-05
1.000000000000000000e+00 1.000000000000000000e+00 -1.174451531421126635e-05 -1.174438649838865397e-05
1.000000000000000000e+00 2.000000000000000000e+00 -2.136183828429784022e-05 -1.054303473199353872e-05
1.000000000000000000e+00 3.000000000000000000e+00 -3.111505700985633829e-05 -1.086792074829088386e-05
1.000000000000000000e+00 4.000000000000000000e+00 -4.106970785805899533e-05 -1.060641004597247738e-05
1.000000000000000000e+00 5.000000000000000000e+00 -5.098482539711608486e-05 -1.106329626760551647e-05
1.000000000000000000e+00 6.000000000000000000e+00 -6.118200081013026761e-05 -1.082664280658266240e-05
1.000000000000000000e+00 7.000000000000000000e+00 -7.128975094636489361e-05 -1.129986429139379935e-05
1.000000000000000000e+00 8.000000000000000000e+00 -8.174625727327664330e-05 -1.104529463256652015e-05
1.000000000000000000e+00 9.000000000000000000e+00 -9.202804661207213306e-05 -1.149142780089101412e-05
1.000000000000000000e+00 1.000000000000000000e+01 -1.026895582224298612e-04 -1.117529291632241684e-05
1.000000000000000000e+00 1.100000000000000000e+01 -1.130418432808005937e-04 -1.154041414589702784e-05
1.000000000000000000e+00 1.200000000000000000e+01 -1.237545537983596904e-04 -1.110722563947729764e-05
1.000000000000000000e+00 1.300000000000000000e+01 -1.339638761957786563e-04 -1.132010218246228678e-05
1.000000000000000000e+00 1.400000000000000000e+01 -1.444537731565731411e-04 -1.071775441837934258e-05
1.000000000000000000e+00 1.500000000000000000e+01 -1.541891236433700892e-04 -1.070349915070343183e-05
1.000000000000000000e+00 1.600000000000000000e+01 -1.640629955782884318e-04 -9.884774707993166081e-06
1.000000000000000000e+00 1.700000000000000000e+01 -1.728789785744634666e-04 -9.574857216825585467e-06
1.000000000000000000e+00 1.800000000000000000e+01 -1.816380362971198759e-04 -8.516255146372452055e-06
1.000000000000000000e+00 1.900000000000000000e+01 -1.890092356133952144e-04 -7.867757345244376669e-06
1.000000000000000000e+00 2.000000000000000000e+01 -1.961057031093233610e-04 -6.581405042399655209e-06
1.000000000000000000e+00 2.100000000000000000e+01 -2.014969218542407938e-04 -5.594413914940978678e-06
1.000000000000000000e+00 2.200000000000000000e+01 -2.064069168548414673e-04 -4.139920281362043206e-06
1.000000000000000000e+00 2.300000000000000000e+01 -2.093639735325372535e-04 -2.863830812058651919e-06
1.000000000000000000e+00 2.400000000000000000e+01 -2.116893633965321979e-04 -1.341068908213891952e-06
1.000000000000000000e+00 2.500000000000000000e+01 -2.119162141037663817e-04 1.289145869908133162e-07
1.000000000000000000e+00 2.600000000000000000e+01 -2.114555332940708373e-04 1.591415672221041522e-06
1.000000000000000000e+00 2.700000000000000000e+01 -2.088972696979193952e-04 3.124089645613665101e-06
1.000000000000000000e+00 2.800000000000000000e+01 -2.057035309056345375e-04 4.395555292639331921e-06
1.000000000000000000e+00 2.900000000000000000e+01 -2.005519738335741220e-04 5.866687242776048384e-06
1.000000000000000000e+00 3.000000000000000000e+01 -1.949087114828426236e-04 6.854614688406659995e-06
1.000000000000000000e+00 3.100000000000000000e+01 -1.875561176595094866e-04 8.159490715521359647e-06
1.000000000000000000e+00 3.200000000000000000e+01 -1.799123713380935833e-04 8.810536287716985216e-06
1.000000000000000000e+00 3.300000000000000000e+01 -1.708754729129947545e-04 9.893514667702656357e-06
1.000000000000000000e+00 3.400000000000000000e+01 -1.617612148571926506e-04 1.020799299543172299e-05
