# i, j, A_i, A_j
1.000000000000000000e+00 6.000000000000000000e+00 -3.635072484389881330e-05 -6.416034719220016291e-06
1.000000000000000000e+00 7.000000000000000000e+00 -4.230896893014723199e-05 -6.664552040156028749e-06
1.000000000000000000e+00 8.000000000000000000e+00 -4.841123726017398563e-05 -6.409835685598770747e-06
1.000000000000000000e+00 9.000000000000000000e+00 -5.436594386528335459e-05 -6.658897396250357714e-06
1.000000000000000000e+00 1.000000000000000000e+01 -6.055581247581125778e-05 -6.503097163408075510e-06
1.000000000000000000e+00 1.100000000000000000e+01 -6.650649092602872758e-05 -6.622027346219410511e-06
1.000000000000000000e+00 1.200000000000000000e+01 -7.258602302666623926e-05 -6.277624760311276001e-06
1.000000000000000000e+00 1.300000000000000000e+01 -7.829128007434178358e-05 -6.347888384161169228e-06
1.000000000000000000e+00 1.400000000000000000e+01 -8.422359963544910611e-05 -5.985920595608632986e-06
1.000000000000000000e+00 1.500000000000000000e+01 -8.962992455559105442e-05 -5.927690782863987828e-06
1.000000000000000000e+00 1.600000000000000000e+01 -9.506608260556874846e-05 -5.459324377574269909e-06
1.000000000000000000e+00 1.700000000000000000e+01 -9.996533893837021806e-05 -5.284934416630584174e-06
1.000000000000000000e+00 1.800000000000000000e+01 -1.047399187463711646e-04 -4.674284483947036212e-06
1.000000000000000000e+00 1.900000000000000000e+01 -1.087278288569695545e-04 -4.271981249106721903e-06
1.000000000000000000e+00 2.000000000000000000e+01 -1.125524717363276834e-04 -3.593924162644927280e-06
1.000000000000000000e+00 2.100000000000000000e+01 -1.154381591585555586e-04 -3.030176046577817868e-06
1.000000000000000000e+00 2.200000000000000000e+01 -1.181244762074975033e-04 -2.249410072377162721e-06
1.000000000000000000e+00 2.300000000000000000e+01 -1.196759862135086125e-04 -1.539012169172191205e-06
1.000000000000000000e+00 2.400000000000000000e+01 -1.209511692383149459e-04 -6.927939263208710615e-07
1.000000000000000000e+00 2.500000000000000000e+01 -1.210381115801263663e-04 6.937793735475395254e-08
1.000000000000000000e+00 2.600000000000000000e+01 -1.207593250289781789e-04 8.509221815379536648e-07
1.000000000000000000e+00 2.700000000000000000e+01 -1.193845042850217615e-04 1.674507660403445246e-06
1.000000000000000000e+00 2.800000000000000000e+01 -1.177067141588841574e-04 2.404450347063784971e-06
1.000000000000000000e+00 2.900000000000000000e+01 -1.148857943245685587e-04 3.173364375768319046e-06
1.000000000000000000e+00 3.000000000000000000e+01 -1.118659553870791961e-04 3.733562957371203204e-06
1.000000000000000000e+00 3.100000000000000000e+01 -1.078659964689487893e-04 4.509311449905559210e-06
1.000000000000000000e+00 3.200000000000000000e+01 -1.037092483421811218e-04 4.849724438260553526e-06
1.000000000000000000e+00 3.300000000000000000e+01 -9.873187904186387666e-05 5.421397879550711940e-06
1.000000000000000000e+00 3.400000000000000000e+01 -9.368031668103065301e-05 5.690624112452387167e-06
1.000000000000000000e+00 3.500000000000000000e+01 -8.798260959538401719e-05 6.223817502817296783e-06
1.000000000000000000e+00 3.600000000000000000e+01 -8.236518940714185495e-05 6.226259036013143469e-06
1.000000000000000000e+00 3.700000000000000000e+01 -7.626703502824589505e-05 6.606123082467175761e-06
1.000000000000000000e+00 3.800000000000000000e+01 -7.026800851555546059e-05 6.536336391970817470e-06
1.000000000000000000e+00 3.900000000000000000e+01 -6.394443402873455280e-05 6.881927848193632928e-06
1.000000000000000000e+00 4.000000000000000000e+01 -5.774985850164126926e-05 6.729256850838432236e-06
1.000000000000000000e+00 4.100000000000000000e+01 -5.134376765607612963e-05 6.939436762289914973e-06
1.000000000000000000e+00 4.200000000000000000e+01 -4.508032023673678177e-05 6.721368429890612229e-06
1.000000000000000000e+00 4.300000000000000000e+01 -3.870813805310780728e-05 6.980822975481905157e-06
1.000000000000000000e+00 4.400000000000000000e+01 -3.242356520667690986e-05 6.777134284156204039e-06
1.000000000000000000e+00 4.500000000000000000e+01 -2.608927870573950081e-05 6.943932061644739312e-06
1.000000000000000000e+00 4.600000000000000000e+01 -1.987817004880326706e-05 6.663553021916537694e-06
1.000000000000000000e+00 4.700000000000000000e+01 -1.359155507327284668e-05 6.786618101896569842e-06
1.000000000000000000e+00 4.800000000000000000e+01 -7.312999194813882988e-06 7.241534074161643296e-06
1.000000000000000000e+00 4.900000000000000000e+01 -0.000000000000000000e+00 8.286923850244023551e-06
2.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -1.394460301853168175e-05
2.000000000000000000e+00 1.000000000000000000e+00 -6.279635445308129961e-06 -1.273744328461094126e-05
2.000000000000000000e+00 2.000000000000000000e+00 -1.157887878046143465e-05 -1.150575289651025205e-05
2.000000000000000000e+00 3.000000000000000000e+00 -1.720617394352704649e-05 -1.171431027089279475e-05
2.000000000000000000e+00 4.000000000000000000e+00 -2.222024853052657323e-05 -1.187913557156970661e-05
2.000000000000000000e+00 5.000000000000000000e+00 -2.817165315945950013e-05 -1.189897128839507729e-05
2.000000000000000000e+00 6.000000000000000000e+00 -3.304670381569295667e-05 -1.195177895280143246e-05
2.000000000000000000e+00 7.000000000000000000e+00 -3.921557965525380562e-05 -1.206051241627517233e-05
2.000000000000000000e+00 8.000000000000000000e+00 -4.404432504478726298e-05 -1.205697493513612260e-05
2.000000000000000000e+00 9.000000000000000000e+00 -5.057626465360733634e-05 -1.214457521563727215e-05
2.000000000000000000e+00 1.000000000000000000e+01 -5.509075986678015736e-05 -1.214054706074537299e-05
2.000000000000000000e+00 1.100000000000000000e+01 -6.181026859718860502e-05 -1.203021055085498148e-05
2.000000000000000000e+00 1.200000000000000000e+01 -6.610677649341854833e-05 -1.178478914831305601e-05
2.000000000000000000e+00 1.300000000000000000e+01 -7.289821311794113354e-05 -1.163757660878286684e-05
2.000000000000000000e+00 1.400000000000000000e+01 -7.690838179927285065e-05 -1.133864448124927084e-05
2.000000000000000000e+00 1.500000000000000000e+01 -8.359811085595491719e-05 -1.084248297011964235e-05
2.000000000000000000e+00 1.600000000000000000e+01 -8.700839277109062618e-05 -1.033541438277916363e-05
2.000000000000000000e+00 1.700000000000000000e+01 -9.344356771150578241e-05 -9.673836140802416169e-06
2.000000000000000000e+00 1.800000000000000000e+01 -9.601001469321651649e-05 -8.762489918599336396e-06
2.000000000000000000e+00 1.900000000000000000e+01 -1.017486397083805624e-04 -7.812552989956518729e-06
2.000000000000000000e+00 2.000000000000000000e+01 -1.033551240876833682e-04 -6.710330301586004136e-06
2.000000000000000000e+00 2.100000000000000000e+01 -1.081465745453018691e-04 -5.572004471169819933e-06
2.000000000000000000e+00 2.200000000000000000e+01 -1.085256158079756254e-04 -4.237827054953053935e-06
2.000000000000000000e+00 2.300000000000000000e+01 -1.122156455049982851e-04 -2.826693030817442587e-06
2.000000000000000000e+00 2.400000000000000000e+01 -1.111706392355245744e-04 -1.362125366617753788e-06
2.000000000000000000e+00 2.500000000000000000e+01 -1.135685255832379363e-04 1.918442093367669302e-07
2.000000000000000000e+00 2.600000000000000000e+01 -1.110678600019398188e-04 1.653607295104604787e-06
2.000000000000000000e+00 2.700000000000000000e+01 -1.119614759169373501e-04 3.052610870094021552e-06
2.000000000000000000e+00 2.800000000000000000e+01 -1.081237067700255695e-04 4.498709960453202796e-06
2.000000000000000000e+00 2.900000000000000000e+01 -1.076190734149409702e-04 5.840758771804961343e-06
2.000000000000000000e+00 3.000000000000000000e+01 -1.025929090688229003e-04 7.019797855619769409e-06
2.000000000000000000e+00 3.100000000000000000e+01 -1.008677914199076852e-04 8.156707044898074211e-06
2.000000000000000000e+00 3.200000000000000000e+01 -9.503456720021408188e-05 9.134117427084912657e-06
2.000000000000000000e+00 3.300000000000000000e+01 -9.223917089322319278e-05 1.002893166115046883e-05
2.000000000000000000e+00 3.400000000000000000e+01 -8.569505505173595494e-05 1.074926944647985948e-05
2.000000000000000000e+00 3.500000000000000000e+01 -8.220302946335658514e-05 1.131512727388879805e-05
2.000000000000000000e+00 3.600000000000000000e+01 -7.529724548981995397e-05 1.171557456713812214e-05
2.000000000000000000e+00 3.700000000000000000e+01 -7.110470710093481385e-05 1.209718089158639436e-05
2.000000000000000000e+00 3.800000000000000000e+01 -6.407840904542618475e-05 1.232260099951134225e-05
2.000000000000000000e+00 3.900000000000000000e+01 -5.945482397925038061e-05 1.251815001391419133e-05
2.000000000000000000e+00 4.000000000000000000e+01 -5.260368424620998269e-05 1.260066637265842317e-05
2.000000000000000000e+00 4.100000000000000000e+01 -4.772961031544557808e-05 1.266953826490448750e-05
2.000000000000000000e+00 4.200000000000000000e+01 -4.100788703366874848e-05 1.263562960296832235e-05
2.000000000000000000e+00 4.300000000000000000e+01 -3.589210681563312881e-05 1.265675503005987191e-05
2.000000000000000000e+00 4.400000000000000000e+01 -2.948138929728201025e-05 1.261885934736830647e-05
2.000000000000000000e+00 4.500000000000000000e+01 -2.425015728473821884e-05 1.254539515787364280e-05
2.000000000000000000e+00 4.600000000000000000e+01 -1.805440635488613480e-05 1.249772363246665413e-05
2.000000000000000000e+00 4.700000000000000000e+01 -1.267741898685995105e-05 1.256517085398938407e-05
2.000000000000000000e+00 4.800000000000000000e+01 -6.827048448488566499e-06 1.359155507327284668e-05
2.000000000000000000e+00 4.900000000000000000e+01 -0.000000000000000000e+00 1.462599838962776598e-05
3.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -1.981390247642551825e-05
3.000000000000000000e+00 1.000000000000000000e+00 -6.509987762098320835e-06 -1.856454323382360349e-05
3.000000000000000000e+00 2.000000000000000000e+00 -1.173939349445804165e-05 -1.717788909956326828e-05
3.000000000000000000e+00 3.000000000000000000e+00 -1.722976935399446992e-05 -1.711412365164280113e-05
3.000000000000000000e+00 4.000000000000000000e+00 -2.257134303386407518e-05 -1.724928900030570528e-05
3.000000000000000000e+00 5.000000000000000000e+00 -2.804692568677027412e-05 -1.737497666198431880e-05
3.000000000000000000e+00 6.000000000000000000e+00 -3.352364945448365198e-05 -1.745996121501431839e-05
3.000000000000000000e+00 7.000000000000000000e+00 -3.913153214799593149e-05 -1.766217326925033506e-05
3.000000000000000000e+00 8.000000000000000000e+00 -4.474077416340171455e-05 -1.777052068395230824e-05
3.000000000000000000e+00 9.000000000000000000e+00 -5.049693561190485123e-05 -1.770533221824325209e-05
3.000000000000000000e+00 1.000000000000000000e+01 -5.611205927017537734e-05 -1.773710110698934080e-05
3.000000000000000000e+00 1.100000000000000000e+01 -6.191560755360338004e-05 -1.763804397285780826e-05
3.000000000000000000e+00 1.200000000000000000e+01 -6.750807568931221740e-05 -1.736556928106379775e-05
3.000000000000000000e+00 1.300000000000000000e+01 -7.334951166172105409e-05 -1.714949369001547155e-05
3.000000000000000000e+00 1.400000000000000000e+01 -7.870190055144341186e-05 -1.668581833362243019e-05
3.000000000000000000e+00 1.500000000000000000e+01 -8.426786434863537453e-05 -1.602770175468176336e-05
3.000000000000000000e+00 1.600000000000000000e+01 -8.936779712368330395e-05 -1.530478123312512158e-05
3.000000000000000000e+00 1.700000000000000000e+01 -9.439534111442738793e-05 -1.428655633875646771e-05
3.000000000000000000e+00 1.800000000000000000e+01 -9.879634271978922821e-05 -1.297935648082181623e-05
3.000000000000000000e+00 1.900000000000000000e+01 -1.030994414735981806e-04 -1.161709064357357361e-05
3.000000000000000000e+00 2.000000000000000000e+01 -1.065860812178092917e-04 -9.991858999566240705e-06
3.000000000000000000e+00 2.100000000000000000e+01 -1.099037354366203429e-04 -8.200667766870075063e-06
3.000000000000000000e+00 2.200000000000000000e+01 -1.121081023630555909e-04 -6.318481032073578743e-06
3.000000000000000000e+00 2.300000000000000000e+01 -1.141419898498010602e-04 -4.184035596721140176e-06
3.000000000000000000e+00 2.400000000000000000e+01 -1.149557976042157333e-04 -2.045674004560522246e-06
3.000000000000000000e+00 2.500000000000000000e+01 -1.154638193087634138e-04 1.721571709395095483e-07
3.000000000000000000e+00 2.600000000000000000e+01 -1.148861487141970822e-04 2.457971847838539810e-06
3.000000000000000000e+00 2.700000000000000000e+01 -1.138146122738357356e-04 4.618660892317694470e-06
3.000000000000000000e+00 2.800000000000000000e+01 -1.117089166765715044e-04 6.746852849060164855e-06
3.000000000000000000e+00 2.900000000000000000e+01 -1.093387835948107312e-04 8.704162076970988274e-06
3.000000000000000000e+00 3.000000000000000000e+01 -1.058274455284053214e-04 1.048484495240448828e-05
3.000000000000000000e+00 3.100000000000000000e+01 -1.022604632769548709e-04 1.206765331851437765e-05
3.000000000000000000e+00 3.200000000000000000e+01 -9.777435185185586765e-05 1.347834496494504592e-05
3.000000000000000000e+00 3.300000000000000000e+01 -9.320859367931945622e-05 1.476091002802884565e-05
3.000000000000000000e+00 3.400000000000000000e+01 -8.801672552739265947e-05 1.572676554231899481e-05
3.000000000000000000e+00 3.500000000000000000e+01 -8.286080091085474316e-05 1.662162706473328420e-05
3.000000000000000000e+00 3.600000000000000000e+01 -7.707794610044606807e-05 1.732458139843491476e-05
3.000000000000000000e+00 3.700000000000000000e+01 -7.148487538945217854e-05 1.782495952686095854e-05
3.000000000000000000e+00 3.800000000000000000e+01 -6.553295855086336695e-05 1.818621951365525071e-05
3.000000000000000000e+00 3.900000000000000000e+01 -5.971437321191917801e-05 1.835665264740982822e-05
3.000000000000000000e+00 4.000000000000000000e+01 -5.366291992459053934e-05 1.845447051464323477e-05
3.000000000000000000e+00 4.100000000000000000e+01 -4.777358698732187231e-05 1.853523397483115257e-05
3.000000000000000000e+00 4.200000000000000000e+01 -4.173048037723112559e-05 1.855887192970306150e-05
3.000000000000000000e+00 4.300000000000000000e+01 -3.588712654416635091e-05 1.850732071186864000e-05
3.000000000000000000e+00 4.400000000000000000e+01 -2.996901821444457109e-05 1.841908381505111232e-05
3.000000000000000000e+00 4.500000000000000000e+01 -2.418622684100446815e-05 1.837091500404061645e-05
3.000000000000000000e+00 4.600000000000000000e+01 -1.830102446880169299e-05 1.823629131979480803e-05
3.000000000000000000e+00 4.700000000000000000e+01 -1.259916160167946563e-05 1.801397600829413476e-05
3.000000000000000000e+00 4.800000000000000000e+01 -6.682827673470756881e-06 1.991895306102159350e-05
3.000000000000000000e+00 4.900000000000000000e+01 -0.000000000000000000e+00 2.194102074722115655e-05
4.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -2.696457854272832342e-05
4.000000000000000000e+00 1.000000000000000000e+00 -6.293410772563374603e-06 -2.447683677906898291e-05
4.000000000000000000e+00 2.000000000000000000e+00 -1.179448805006643784e-05 -2.222553448840639944e-05
4.000000000000000000e+00 3.000000000000000000e+00 -1.723701894785769847e-05 -2.254625981029882828e-05
4.000000000000000000e+00 4.000000000000000000e+00 -2.273840571896901209e-05 -2.269629190434551081e-05
4.000000000000000000e+00 5.000000000000000000e+00 -2.821320577626912113e-05 -2.285127770901465409e-05
4.000000000000000000e+00 6.000000000000000000e+00 -3.383391189936142115e-05 -2.303638541402708984e-05
4.000000000000000000e+00 7.000000000000000000e+00 -3.949025824341863646e-05 -2.327763712519323490e-05
4.000000000000000000e+00 8.000000000000000000e+00 -4.519619977184682999e-05 -2.342237839904504234e-05
4.000000000000000000e+00 9.000000000000000000e+00 -5.099467787216984793e-05 -2.351586032241093495e-05
4.000000000000000000e+00 1.000000000000000000e+01 -5.690778503007363695e-05 -2.355921900244390180e-05
4.000000000000000000e+00 1.100000000000000000e+01 -6.275468353632307223e-05 -2.342622696999182154e-05
4.000000000000000000e+00 1.200000000000000000e+01 -6.867877926388511842e-05 -2.321869325643073005e-05
4.000000000000000000e+00 1.300000000000000000e+01 -7.465393783712672901e-05 -2.283140147091406130e-05
4.000000000000000000e+00 1.400000000000000000e+01 -8.032781973824282620e-05 -2.225699716816359128e-05
4.000000000000000000e+00 1.500000000000000000e+01 -8.608499454879276532e-05 -2.150837954235953445e-05
4.000000000000000000e+00 1.600000000000000000e+01 -9.146986642460515847e-05 -2.046289114857117704e-05
4.000000000000000000e+00 1.700000000000000000e+01 -9.675608980524568479e-05 -1.910238173690834043e-05
4.000000000000000000e+00 1.800000000000000000e+01 -1.015011872437073448e-04 -1.746659027777012910e-05
4.000000000000000000e+00 1.900000000000000000e+01 -1.060559514577277091e-04 -1.560229148797658222e-05
4.000000000000000000e+00 2.000000000000000000e+01 -1.099154584840592648e-04 -1.351462426460816636e-05
4.000000000000000000e+00 2.100000000000000000e+01 -1.132905870372121024e-04 -1.109402561641611908e-05
4.000000000000000000e+00 2.200000000000000000e+01 -1.159098358250002805e-04 -8.476081468133771224e-06
4.000000000000000000e+00 2.300000000000000000e+01 -1.179051084386774340e-04 -5.674388271977585030e-06
4.000000000000000000e+00 2.400000000000000000e+01 -1.189717863754493189e-04 -2.683954825580107430e-06
4.000000000000000000e+00 2.500000000000000000e+01 -1.193290355795742486e-04 2.614930993554180020e-07
4.000000000000000000e+00 2.600000000000000000e+01 -1.188002195279886568e-04 3.302814330032283023e-06
4.000000000000000000e+00 2.700000000000000000e+01 -1.175591220542784583e-04 6.229842907719599331e-06
4.000000000000000000e+00 2.800000000000000000e+01 -1.154855162155653259e-04 8.974538639478207153e-06
4.000000000000000000e+00 2.900000000000000000e+01 -1.127461850694789418e-04 1.172222991997114443e-05
4.000000000000000000e+00 3.000000000000000000e+01 -1.091991061733827849e-04 1.409811817347562967e-05
4.000000000000000000e+00 3.100000000000000000e+01 -1.052344479068935434e-04 1.620980072144752792e-05
4.000000000000000000e+00 3.200000000000000000e+01 -1.006204334399556620e-04 1.818598702472032738e-05
4.000000000000000000e+00 3.300000000000000000e+01 -9.564339540733330551e-05 1.978655798561367702e-05
4.000000000000000000e+00 3.400000000000000000e+01 -9.023116896573525354e-05 2.109706221494457253e-05
4.000000000000000000e+00 3.500000000000000000e+01 -8.459048897488239587e-05 2.225390670083538945e-05
4.000000000000000000e+00 3.600000000000000000e+01 -7.875191841812248300e-05 2.309150008854068676e-05
4.000000000000000000e+00 3.700000000000000000e+01 -7.276464419395955205e-05 2.364216844116909548e-05
4.000000000000000000e+00 3.800000000000000000e+01 -6.668117851150244892e-05 2.409310317704434277e-05
4.000000000000000000e+00 3.900000000000000000e+01 -6.061568339245341380e-05 2.438818864018701895e-05
4.000000000000000000e+00 4.000000000000000000e+01 -5.445218197544317751e-05 2.454145259725572887e-05
4.000000000000000000e+00 4.100000000000000000e+01 -4.836984877267009209e-05 2.460197781226390124e-05
4.000000000000000000e+00 4.200000000000000000e+01 -4.228850590269758129e-05 2.452209004612384375e-05
4.000000000000000000e+00 4.300000000000000000e+01 -3.626656455121309150e-05 2.441821719284642642e-05
4.000000000000000000e+00 4.400000000000000000e+01 -3.026745438817105791e-05 2.431975905053018923e-05
4.000000000000000000e+00 4.500000000000000000e+01 -2.439717311306299823e-05 2.421338890351652090e-05
4.000000000000000000e+00 4.600000000000000000e+01 -1.850241747371460130e-05 2.408478887179165665e-05
4.000000000000000000e+00 4.700000000000000000e+01 -1.268774656371242005e-05 2.418336764932031848e-05
4.000000000000000000e+00 4.800000000000000000e+01 -6.990419402231637139e-06 2.619071667495231231e-05
4.000000000000000000e+00 4.900000000000000000e+01 -0.000000000000000000e+00 2.799165373656927974e-05
5.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -3.240072402155226745e-05
5.000000000000000000e+00 1.000000000000000000e+00 -6.541027176408739177e-06 -3.035903128389004133e-05
5.000000000000000000e+00 2.000000000000000000e+00 -1.191431197043113174e-05 -2.812149727485759384e-05
5.000000000000000000e+00 3.000000000000000000e+00 -1.730607115994551014e-05 -2.805804132054537538e-05
5.000000000000000000e+00 4.000000000000000000e+00 -2.287331579070415620e-05 -2.822547582871712794e-05
5.000000000000000000e+00 5.000000000000000000e+00 -2.844850134396940711e-05 -2.847048284237672786e-05
5.000000000000000000e+00 6.000000000000000000e+00 -3.418307641920487509e-05 -2.873701368216383372e-05
5.000000000000000000e+00 7.000000000000000000e+00 -3.996556777636699296e-05 -2.902446114173574390e-05
5.000000000000000000e+00 8.000000000000000000e+00 -4.584675785637302905e-05 -2.927494031270351971e-05
5.000000000000000000e+00 9.000000000000000000e+00 -5.181904600880539425e-05 -2.941691747647005905e-05
5.000000000000000000e+00 1.000000000000000000e+01 -5.782795805037350446e-05 -2.949710677114256510e-05
5.000000000000000000e+00 1.100000000000000000e+01 -6.391449609233066558e-05 -2.940903820666928973e-05
5.000000000000000000e+00 1.200000000000000000e+01 -7.015401586687837411e-05 -2.926482358186745453e-05
5.000000000000000000e+00 1.300000000000000000e+01 -7.624251675513837433e-05 -2.879853416437317933e-05
5.000000000000000000e+00 1.400000000000000000e+01 -8.238662255963751608e-05 -2.811687504528846649e-05
5.000000000000000000e+00 1.500000000000000000e+01 -8.837385903275846275e-05 -2.716974844104409564e-05
5.000000000000000000e+00 1.600000000000000000e+01 -9.415925974256810220e-05 -2.597587648957804104e-05
5.000000000000000000e+00 1.700000000000000000e+01 -9.976369711823182009e-05 -2.431787715785865400e-05
5.000000000000000000e+00 1.800000000000000000e+01 -1.050399093534892868e-04 -2.227921813330384056e-05
5.000000000000000000e+00 1.900000000000000000e+01 -1.098894019467510340e-04 -2.003136188392549370e-05
5.000000000000000000e+00 2.000000000000000000e+01 -1.141510917687770378e-04 -1.722649457905063401e-05
5.000000000000000000e+00 2.100000000000000000e+01 -1.177521560991383559e-04 -1.419504510781109067e-05
5.000000000000000000e+00 2.200000000000000000e+01 -1.206781019192080845e-04 -1.093300243353891033e-05
5.000000000000000000e+00 2.300000000000000000e+01 -1.227878082909896298e-04 -7.245986147170178655e-06
5.000000000000000000e+00 2.400000000000000000e+01 -1.241000201524008605e-04 -3.469601145457336822e-06
5.000000000000000000e+00 2.500000000000000000e+01 -1.245142925790803962e-04 3.437240184001716901e-07
5.000000000000000000e+00 2.600000000000000000e+01 -1.239290449948802163e-04 4.227885373134330094e-06
5.000000000000000000e+00 2.700000000000000000e+01 -1.226212896676991463e-04 7.933364204741025390e-06
5.000000000000000000e+00 2.800000000000000000e+01 -1.203106370721522935e-04 1.155978983385968139e-05
5.000000000000000000e+00 2.900000000000000000e+01 -1.172260551387998087e-04 1.499057211915352924e-05
5.000000000000000000e+00 3.000000000000000000e+01 -1.134576359490055278e-04 1.799658211498988665e-05
