# i, j, E_i, E_j
0.000000000000000000e+00 4.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 -7.254631585809258326e-06 0.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 -7.027860001156270105e-06 7.014497057059942136e-06
1.000000000000000000e+00 2.000000000000000000e+00 -6.244876148804859603e-06 1.273096883207144826e-05
1.000000000000000000e+00 3.000000000000000000e+00 -6.471955101980964641e-06 1.847725560617939671e-05
1.000000000000000000e+00 4.000000000000000000e+00 -6.316823957131536383e-06 2.448476772826202076e-05
1.000000000000000000e+00 5.000000000000000000e+00 -6.648692295722963876e-06 3.045736089625082806e-05
1.000000000000000000e+00 6.000000000000000000e+00 -6.472704726249644619e-06 3.640739485092844163e-05
1.000000000000000000e+00 7.000000000000000000e+00 -6.731902326417476331e-06 4.237631921640867957e-05
1.000000000000000000e+00 8.000000000000000000e+00 -6.560673072829670754e-06 4.856207464740488903e-05
1.000000000000000000e+00 9.000000000000000000e+00 -6.762272298583235256e-06 5.446931876761623552e-05
1.000000000000000000e+00 1.000000000000000000e+01 -6.695077789284832902e-06 6.074779310168801518e-05
1.000000000000000000e+00 1.100000000000000000e+01 -6.721024430303949729e-06 6.660548801011326680e-05
1.000000000000000000e+00 1.200000000000000000e+01 -6.440775651548747013e-06 7.274917391790371027e-05
1.000000000000000000e+00 1.300000000000000000e+01 -6.489468028911198169e-06 7.843285971909181253e-05
1.000000000000000000e+00 1.400000000000000000e+01 -6.180888761522132892e-06 8.441856780136259924e-05
1.000000000000000000e+00 1.500000000000000000e+01 -6.037267123338249956e-06 8.973950089606532333e-05
1.000000000000000000e+00 1.600000000000000000e+01 -5.597391578844437344e-06 9.520414980683890912e-05
1.000000000000000000e+00 1.700000000000000000e+01 -5.438674189661161292e-06 1.001190787114007952e-04
1.000000000000000000e+00 1.800000000000000000e+01 -4.848066955072032416e-06 1.049137012174961676e-04
1.000000000000000000e+00 1.900000000000000000e+01 -4.454495418433580475e-06 1.089103430262964130e-04
1.000000000000000000e+00 2.000000000000000000e+01 -3.730086315980628352e-06 1.126886338896633912e-04
1.000000000000000000e+00 2.100000000000000000e+01 -3.187536051432052014e-06 1.155955191634097927e-04
1.000000000000000000e+00 2.200000000000000000e+01 -2.421148854352966223e-06 1.182962149894733068e-04
1.000000000000000000e+00 2.300000000000000000e+01 -1.751113717827950723e-06 1.198880877621643720e-04
1.000000000000000000e+00 2.400000000000000000e+01 -9.210298298563586190e-07 1.211794051418504334e-04
1.000000000000000000e+00 2.500000000000000000e+01 -2.038366143384325469e-07 1.213113261318195528e-04
1.000000000000000000e+00 2.600000000000000000e+01 6.058811125032837700e-07 1.210043660980128488e-04
1.000000000000000000e+00 2.700000000000000000e+01 1.488857049766141084e-06 1.195701548956590657e-04
1.000000000000000000e+00 2.800000000000000000e+01 2.174030524090602920e-06 1.179371339818573394e-04
1.000000000000000000e+00 2.900000000000000000e+01 2.997976832995675111e-06 1.150611818673412027e-04
1.000000000000000000e+00 3.000000000000000000e+01 3.530000073479486536e-06 1.120695182709709127e-04
1.000000000000000000e+00 3.100000000000000000e+01 4.346759678519345642e-06 1.080285482403349961e-04
1.000000000000000000e+00 3.200000000000000000e+01 4.675720673996809444e-06 1.038832521064448591e-04
1.000000000000000000e+00 3.300000000000000000e+01 5.267282184805330248e-06 9.888599473660925835e-05
